Group,Title,Image,Description,Address,Latitude,Longitude,Found Address,Match Quality,Source
,sphere,,,,47.6063889,-122.3308333,,,
,unknown,,,,46.216667,-63.483333,,,
,other,,,,39.1619444,-84.4569444,,,
,circle,,,,45.5236111,-122.675,,,
,oval,,,,34.0952778,-118.1261111,,,
,sphere,,,,39.7683333,-86.1580556,,,
,other,,,,38.8402778,-77.4291667,,,
,light,,,,42.9897222,-116.0925,,,
,oval,,,,41.7791667,-83.5688889,,,
,formation,,,,33.8075,-78.7011111,,,
,light,,,,35.0844444,-106.6505556,,,
,sphere,,,,45.3088889,-89.4963889,,,
,triangle,,,,41.0886111,-74.1441667,,,
,changing,,,,49.966667,-98.3,,,
,sphere,,,,39.4666667,-87.4138889,,,
,oval,,,,39.7683333,-86.1580556,,,
,unknown,,,,45.416667,-80.1,,,
,circle,,,,39.6294444,-79.9561111,,,
,unknown,,,,37.8716667,-122.2716667,,,
,sphere,,,,41.5094444,-90.5786111,,,
,circle,,,,42.2669444,-79.7108333,,,
,flash,,,,44.295,-93.2686111,,,
,light,,,,40.7583333,-82.5155556,,,
,light,,,,38.9516667,-92.3338889,,,
,sphere,,,,45.3088889,-89.4963889,,,
,other,,,,47.6063889,-122.3308333,,,
,other,,,,33.415,-111.5488889,,,
,oval,,,,25.9327778,-80.1627778,,,
,egg,,,,34.0522222,-118.2427778,,,
,triangle,,,,40.5030556,-78.6305556,,,
,unknown,,,,35.4491667,-86.7888889,,,
,other,,,,25.9327778,-80.1627778,,,
,light,,,,47.4158333,-120.2919444,,,
,light,,,,35.3186111,-82.4611111,,,
,disk,,,,46.3580556,-94.2005556,,,
,diamond,,,,31.1911111,-95.2352778,,,
,triangle,,,,37.775,-122.4183333,,,
,unknown,,,,34.8761111,-83.9583333,,,
,light,,,,35.2247222,-88.2491667,,,
,triangle,,,,38.0683333,-78.8897222,,,
,other,,,,34.6377778,-97.8172222,,,
,light,,,,31.2133333,-82.3541667,,,
,disk,,,,33.5058333,-102.0086111,,,
,unknown,,,,41.52,-81.4888889,,,
,light,,,,44.5366667,-122.9058333,,,
,changing,,,,33.5441667,-84.2338889,,,
,changing,,,,39.7391667,-104.9841667,,,
,sphere,,,,30.3319444,-81.6558333,,,
,oval,,,,33.7205556,-116.2147222,,,
,triangle,,,,42.1033333,-76.2625,,,
,circle,,,,40.0063889,-75.7036111,,,
,flash,,,,30.2669444,-97.7427778,,,
,sphere,,,,33.5394444,-83.8194444,,,
,unknown,,,,33.6675,-84.0177778,,,
,unknown,,,,27.6383333,-80.3975,,,
,oval,,,,27.2541667,-80.23,,,
,formation,,,,29.7630556,-95.3630556,,,
,light,,,,46.7833333,-92.1063889,,,
,circle,,,,40.68,-102.8388889,,,
,unknown,,,,41.1577778,-80.0888889,,,
,other,,,,33.4213889,-96.5769444,,,
,triangle,,,,39.8855556,-104.9866667,,,
,other,,,,42.983333,-81.25,,,
,light,,,,45.5113889,-92.98,,,
,circle,,,,42.6291667,-73.865,,,
,disk,,,,40.7138889,-116.1030556,,,
,formation,,,,37.9747222,-87.5558333,,,
,oval,,,,42.6525,-73.7566667,,,
,triangle,,,,37.5483333,-121.9875,,,
,triangle,,,,32.7252778,-114.6236111,,,
,light,,,,41.6833333,-86.25,,,
,formation,,,,43.8280556,-91.3038889,,,
,oval,,,,39.9522222,-75.1641667,,,
,light,,,,47.6063889,-122.3308333,,,
,light,,,,38.2544444,-104.6086111,,,
,oval,,,,39.1619444,-84.4569444,,,
,disk,,,,32.7152778,-117.1563889,,,
,circle,,,,43.0730556,-89.4011111,,,
,sphere,,,,40.4797222,-84.6283333,,,
,egg,,,,38.8697222,-106.9872222,,,
,unknown,,,,36.1538889,-95.9925,,,
,unknown,,,,34.1111111,-109.2908333,,,
,unknown,,,,36.7280556,-76.5838889,,,
,light,,,,33.8352778,-117.9136111,,,
,light,,,,34.2255556,-77.945,,,
,disk,,,,39.1155556,-77.5638889,,,
,changing,,,,41.7075,-86.895,,,
,light,,,,37.3230556,-122.0311111,,,
,light,,,,42.7675,-78.7441667,,,
,circle,,,,40.2736111,-76.8847222,,,
,circle,,,,41.5930556,-81.5269444,,,
,formation,,,,34.3769444,-82.6958333,,,
,light,,,,41.0263889,-73.6288889,,,
,light,,,,32.8544444,-79.975,,,
,cigar,,,,38.7891667,-77.1875,,,
,light,,,,41.1669444,-73.2052778,,,
,triangle,,,,45.4077778,-122.5691667,,,
,oval,,,,31.4636111,-100.4366667,,,
,fireball,,,,41.8525,-72.6441667,,,
,cylinder,,,,41.7886111,-89.6961111,,,
,other,,,,47.9791667,-122.2008333,,,
,disk,,,,35.8752778,-110.6197222,,,
,circle,,,,42.6525,-73.7566667,,,
,egg,,,,33.7738889,-117.9405556,,,
,changing,,,,25.7738889,-80.1938889,,,
,triangle,,,,42.7283333,-73.6922222,,,
,circle,,,,36.7280556,-108.2180556,,,
,other,,,,34.61,-112.315,,,
,circle,,,,42.0963889,-79.3758333,,,
,oval,,,,41.55,-71.4666667,,,
,disk,,,,41.35,-72.0788889,,,
,light,,,,37.6086111,-77.3736111,,,
,flash,,,,43.25,-79.833333,,,
,fireball,,,,41.5622222,-72.6511111,,,
,fireball,,,,41.4819444,-81.7983333,,,
,circle,,,,39.9625,-76.7280556,,,
,circle,,,,41.1238889,-100.765,,,
,triangle,,,,39.5297222,-84.0866667,,,
,circle,,,,41.1669444,-73.2052778,,,
,sphere,,,,32.7152778,-117.1563889,,,
,oval,,,,42.5802778,-83.0302778,,,
,light,,,,43.0480556,-76.1477778,,,
,circle,,,,43.0480556,-76.1477778,,,
,light,,,,38.8338889,-104.8208333,,,
,changing,,,,32.9975,-87.63,,,
,disk,,,,40.7141667,-74.0063889,,,
,fireball,,,,32.3122222,-106.7777778,,,
,light,,,,37.7305556,-88.9330556,,,
,other,,,,37.3394444,-121.8938889,,,
,sphere,,,,33.4483333,-112.0733333,,,
,light,,,,46.6022222,-120.5047222,,,
,changing,,,,30.2669444,-97.7427778,,,
,cigar,,,,36.3436111,-83.2841667,,,
,light,,,,46.8219444,-123.095,,,
,cylinder,,,,41.1147222,-74.15,,,
,rectangle,,,,33.7397222,-116.4119444,,,
,chevron,,,,28.0777778,-82.7638889,,,
,light,,,,38.6272222,-90.1977778,,,
,light,,,,45.416667,-75.7,,,
,light,,,,40.9780556,-81.7822222,,,
,light,,,,45.716667,-67,,,
,light,,,,44.4905556,-73.1113889,,,
,circle,,,,29.9938889,-90.2416667,,,
,circle,,,,39.7463889,-84.2866667,,,
,light,,,,42.7647222,-71.4402778,,,
,light,,,,42.9275,-83.63,,,
,circle,,,,44.7791667,-93.3361111,,,
,sphere,,,,42.4775,-83.0277778,,,
,triangle,,,,42.3086111,-83.4822222,,,
,triangle,,,,39.1611111,-80.3522222,,,
,light,,,,42.7647222,-71.4402778,,,
,egg,,,,26.9338889,-80.0944444,,,
,circle,,,,42.5294444,-83.7802778,,,
,light,,,,44.9133333,-93.5030556,,,
,fireball,,,,38.3708333,-90.5002778,,,
,sphere,,,,41.2455556,-89.9247222,,,
,sphere,,,,41.2455556,-89.9247222,,,
,sphere,,,,35.0844444,-106.6505556,,,
